Mean ,SD,Variance,Kurtosis,Median,Mode,sum,Skewness ,max,min,range,RMS, Impulse Factor,Shape factor,k factor,Std error,count,condition 
0.013607,0.410474,0.168489,4.10304,0.013996,-0.065681,163.28323,-0.059413,2.720423,-2.210735,4.931158,0.003747,0.410683,199.929125,30.181873,1.117231,12000,A
0.014247,0.408762,0.167087,3.827323,0.012062,0.125026,170.963897,0.048974,2.622179,-2.422574,5.044754,0.003731,0.408993,184.051438,28.707355,1.072454,12000,A
0.012984,0.420975,0.17722,4.512345,0.009771,0.019619,155.805001,0.09773,3.524222,-2.790378,6.3146,0.003843,0.421158,271.433329,32.4373,1.484254,12000,A
0.01373,0.422,0.178084,4.985951,0.014948,0.021362,164.762833,0.04329,3.450674,-2.959254,6.409928,0.003852,0.422206,251.319331,30.750066,1.456894,12000,A
0.013803,0.425248,0.180836,4.918819,0.019053,0.029222,165.638337,-0.055653,3.407889,-2.572052,5.979942,0.003882,0.425454,246.891346,30.822875,1.449901,12000,A
0.014037,0.427937,0.18313,5.000558,0.014234,0.028219,168.442294,0.105889,3.660907,-2.245903,5.906809,0.003907,0.428149,260.806698,30.501775,1.567414,12000,A
0.016311,0.406517,0.165256,5.595198,0.020035,0.025964,195.728165,0.091382,4.539862,-2.351584,6.891446,0.003711,0.406828,278.336743,24.942399,1.846941,12000,A
0.017251,0.433327,0.187773,5.793528,0.023963,0.037531,207.007365,-0.045593,4.039956,-2.575623,6.615579,0.003956,0.433653,234.192033,25.138389,1.751938,12000,A
0.018003,0.412418,0.170088,5.238562,0.017239,-0.021644,216.041662,0.066556,3.382778,-2.537956,5.920734,0.003765,0.412793,187.895871,22.928535,1.396388,12000,A
0.014886,0.411622,0.169433,4.255907,0.017893,-0.019331,178.634746,-0.061628,3.125,-2.440188,5.565188,0.003758,0.411874,209.925591,27.668131,1.287107,12000,A
0.013843,0.439074,0.192786,4.60629,0.0159,0.001839,166.112953,-0.012636,3.101912,-2.483806,5.585718,0.004008,0.439274,224.082148,31.73312,1.362588,12000,A
0.012835,0.418144,0.174845,5.190203,0.01703,0.080225,154.019956,0.058934,3.635974,-2.053224,5.689198,0.003817,0.418324,283.285921,32.592442,1.521015,12000,A
0.011998,0.409243,0.16748,4.681271,0.015929,0.093016,143.980552,-0.023367,3.48477,-2.6265,6.11127,0.003736,0.409402,290.436757,34.121402,1.42667,12000,A
0.011141,0.43456,0.188843,6.416072,0.014799,0.029707,133.692356,0.11374,4.733254,-3.171867,7.905122,0.003967,0.434685,424.848918,39.016578,2.057474,12000,A
0.012237,0.418209,0.174899,5.230816,0.015067,0.159619,146.839194,-0.030387,3.749867,-2.837744,6.587611,0.003818,0.418371,306.446835,34.190116,1.568835,12000,A
0.011537,0.41851,0.17515,4.604939,0.018339,0.061537,138.442915,0.045328,3.474357,-2.074944,5.549301,0.00382,0.418651,301.15144,36.288001,1.454544,12000,A
0.012195,0.424522,0.180219,5.059984,0.015394,-0.003881,146.336254,0.115136,3.674771,-2.306777,5.981548,0.003875,0.42468,301.341974,34.824967,1.5606,12000,A
0.011314,0.424454,0.180161,4.602778,0.012567,0.12659,135.773083,-0.046103,2.822772,-2.62406,5.446832,0.003875,0.424587,249.484398,37.526187,1.198513,12000,A
0.012846,0.423857,0.179655,4.989055,0.01108,-0.067416,154.153546,0.093369,3.981462,-2.107077,6.088539,0.003869,0.424034,309.934806,33.008712,1.688276,12000,A
0.011538,0.449007,0.201607,15.503774,0.014412,0.031373,138.453685,0.123863,6.45802,-4.164537,10.622557,0.449137,559.726822,38.927381,2.900533,0.004099,12000,B
0.014074,0.400719,0.160576,6.028345,0.012151,0.027002,168.88436,0.083395,3.557903,-2.920814,6.478716,0.400949,252.805121,28.489258,1.426538,0.003658,12000,B
0.013833,0.401124,0.1609,5.2529,0.013222,0.039622,165.994537,0.128985,4.142603,-2.528911,6.671514,0.401346,299.475149,29.013891,1.662616,0.003662,12000,B
0.014854,0.4428,0.196072,14.595221,0.013103,0.102165,178.251888,0.657272,5.350921,-3.621312,8.972233,0.443031,360.226495,29.825031,2.370622,0.004042,12000,B
0.014727,0.423432,0.179295,12.532133,0.020333,0.08133,176.721586,0.261371,5.365976,-3.667607,9.033583,0.423671,364.368116,28.7687,2.273408,0.003865,12000,B
0.017497,0.392116,0.153755,5.003093,0.010991,-0.031044,209.958538,0.159858,3.790271,-2.973119,6.76339,0.392489,216.629708,22.432395,1.487641,0.00358,12000,B
0.017735,0.430948,0.185716,10.502118,0.01828,0.030348,212.81837,0.519689,5.18133,-2.930454,8.111784,0.431295,292.155071,24.319032,2.234681,0.003934,12000,B
0.019851,0.411299,0.169167,13.162461,0.018161,0.040543,238.215835,0.358335,6.356504,-4.258556,10.61506,0.41176,320.205604,20.742209,2.617355,0.003755,12000,B
0.019235,0.421062,0.177293,6.630347,0.019708,0.036731,230.824484,0.145784,3.759269,-2.829294,6.588563,0.421483,195.435198,21.911877,1.584469,0.003844,12000,B
0.018329,0.400514,0.160412,7.702044,0.018072,-0.003229,219.946826,0.251725,4.67726,-2.579312,7.256572,0.400917,255.184937,21.873467,1.875191,0.003656,12000,B
0.016381,0.427995,0.18318,9.159819,0.013222,-0.011086,196.571535,0.09667,4.212582,-3.397631,7.610213,0.42829,257.163274,26.145624,1.804208,0.003907,12000,B
0.015512,0.395643,0.156533,7.130903,0.011705,0.048362,186.139872,0.233603,4.77949,-3.171986,7.951476,0.39593,308.122495,25.524706,1.892346,0.003612,12000,B
0.012621,0.406027,0.164858,7.121713,0.010485,-0.02292,151.457591,0.240024,3.921481,-3.059759,6.98124,0.406206,310.699324,32.183734,1.592929,0.003706,12000,B
0.010099,0.424467,0.180172,12.385389,0.010276,0.013014,121.193175,0.324225,5.160801,-4.461231,9.622033,0.42457,510.999183,42.038968,2.19112,0.003875,12000,B
0.012745,0.412181,0.169893,7.847264,0.014353,0.067031,152.938623,0.256094,4.504575,-2.953482,7.458057,0.412361,353.44178,32.355019,1.857511,0.003763,12000,B
0.013495,0.404747,0.16382,7.35858,0.011318,0.042215,161.940549,0.094428,3.878042,-4.197384,8.075426,0.404955,287.367826,30.007649,1.570431,0.003695,12000,B
0.01474,0.411223,0.169105,9.064265,0.012359,0.049644,176.882488,0.385908,4.815193,-3.619408,8.434601,0.41147,326.67067,27.914834,1.98131,0.003754,12000,B
0.014489,0.442512,0.195817,10.324989,0.011496,-0.01373,173.863598,0.474512,4.669584,-3.619467,8.289051,0.44273,322.292897,30.557079,2.067366,0.00404,12000,B
0.013459,0.434142,0.188479,10.040653,0.006766,0.037466,161.5133,0.541285,5.895336,-3.047977,8.943313,0.434332,438.007508,32.269699,2.560534,0.003963,12000,B
0.012157,0.415609,0.172731,8.564668,0.007509,0.008788,145.887107,0.390319,5.237742,-2.869163,8.106905,0.415769,430.832452,34.199249,2.177691,0.003794,12000,B
0.014635,0.415406,0.172562,8.342916,0.009027,0.051045,175.622341,0.38251,4.536886,-3.264577,7.801463,0.415647,309.998353,28.400493,1.885742,0.003792,12000,B
0.015342,0.432226,0.186819,12.982116,0.013043,0.01996,184.106808,0.693773,5.772517,-3.010012,8.78253,0.43248,376.250109,28.188849,2.496498,0.003946,12000,B
0.016815,0.40385,0.163095,9.090215,0.017239,0.016754,201.781893,0.388072,4.721115,-2.928252,7.649367,0.404183,280.765447,24.036825,1.908195,0.003687,12000,B
0.014614,0.437386,0.191306,9.94197,0.013519,0.077573,175.366765,0.452802,5.015191,-3.425182,8.440373,0.437611,343.179592,29.944883,2.194705,0.003993,12000,B
0.015429,0.403148,0.162529,7.190322,0.014144,0.004991,185.14613,0.220839,4.041503,-3.231492,7.272995,0.403427,261.944666,26.147566,1.63045,0.00368,12000,B
0.01497,0.454321,0.206408,11.59101,0.013043,-0.018502,179.635449,0.560818,5.215487,-3.158895,8.374382,0.454549,348.404727,30.364759,2.370694,0.004147,12000,B
